Orden,Tipo de contenedor,Tipo de contenedor normalizado,Modelo,Carga,Lote,Dirección,Barrio,Distrito,Latitud,Longitud,X,Y,Código de localización
27989,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle José Fentanes, 38",Ciudad Universitaria,Moncloa-Aravaca,40.464843993274,-3.724927117336,438541.813,4479604.747,CS_093_056
27990,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle José Fentanes, 38",Ciudad Universitaria,Moncloa-Aravaca,40.464843993274,-3.724927117336,438541.813,4479604.747,CS_093_056
27991,Restos,Restos,R 800 CT,Carga trasera,3,"Calle General Ricardos, 76",San Isidro,Carabanchel,40.393975984923,-3.723136607842,438629.222,4471737.16,CT_113_056
27992,Restos,Restos,R 800 CT,Carga trasera,3,"Calle General Ricardos, 76",San Isidro,Carabanchel,40.393975984923,-3.723136607842,438629.222,4471737.16,CT_113_056
27993,Restos,Restos,R 800 CT,Carga trasera,3,"Calle General Ricardos, 76",San Isidro,Carabanchel,40.393975984923,-3.723136607842,438629.222,4471737.16,CT_113_056
27994,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Calle General Ricardos, 76",San Isidro,Carabanchel,40.393975984923,-3.723136607842,438629.222,4471737.16,CT_113_056
27995,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Calle General Ricardos, 76",San Isidro,Carabanchel,40.393975984923,-3.723136607842,438629.222,4471737.16,CT_113_056
27996,Restos,Restos,R 800 CT,Carga trasera,1,"Calle San Restituto, 43",Valdezarza,Moncloa-Aravaca,40.465750269928,-3.717328496602,439186.835,4479700.082,CT_094_112
27997,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,1,"Calle San Restituto, 43",Valdezarza,Moncloa-Aravaca,40.465750269928,-3.717328496602,439186.835,4479700.082,CT_094_112
27998,Orgánica,Organica,O 800 CT,Carga trasera,1,"Calle San Restituto, 43",Valdezarza,Moncloa-Aravaca,40.465750269928,-3.717328496602,439186.835,4479700.082,CT_094_112
27999,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Concepción Jerónima, 14",Sol,Centro,40.413989476631,-3.705424598418,440150.137,4473946.5,CS_016_007
28000,Vidrio,Vidrio,V 3100 CS ABATIBLE,Carga superior abatible,1,"Calle Concepción Jerónima, 14",Sol,Centro,40.413989476631,-3.705424598418,440150.137,4473946.5,CS_016_007
28001,PMB,PlasticosMetalesYBriks,E 3100 CS,Carga superior,1,"Calle Concepción Jerónima, 14",Sol,Centro,40.413989476631,-3.705424598418,440150.137,4473946.5,CS_016_007
28002,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Camino Viejo de Leganés, 27",Opañel,Carabanchel,40.391689657562,-3.724297548312,438528.616,4471484.186,CT_112_010
28003,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Camino Viejo de Leganés, 27",Opañel,Carabanchel,40.391689657562,-3.724297548312,438528.616,4471484.186,CT_112_010
28004,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Calle Camino Viejo de Leganés, 27",Opañel,Carabanchel,40.391689657562,-3.724297548312,438528.616,4471484.186,CT_112_010
28005,Orgánica,Organica,O 800 CT,Carga trasera,3,"Calle Camino Viejo de Leganés, 27",Opañel,Carabanchel,40.391689657562,-3.724297548312,438528.616,4471484.186,CT_112_010
28006,Restos,Restos,R 2750 CL,Carga lateral,1,"Calle Joaquín Jorge Alarcón, 11",Peñagrande,Fuencarral-El Pardo,40.477031662833,-3.727529646496,438332.323,4480959.402,CL_083_088
28007,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,1,"Calle Joaquín Jorge Alarcón, 11",Peñagrande,Fuencarral-El Pardo,40.477031662833,-3.727529646496,438332.323,4480959.402,CL_083_088
28008,Orgánica,Organica,O 2750 CL,Carga lateral,1,"Calle Joaquín Jorge Alarcón, 11",Peñagrande,Fuencarral-El Pardo,40.477031662833,-3.727529646496,438332.323,4480959.402,CL_083_088
28009,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,3,"Paseo Pontones, 22",Imperial,Arganzuela,40.404332469165,-3.71834438211,439045.271,4472883.407,CS_021_034
28010,Vidrio,Vidrio,V 3100 CS,Carga superior,3,"Paseo Pontones, 22",Imperial,Arganzuela,40.404332469165,-3.71834438211,439045.271,4472883.407,CS_021_034
28011,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Hilarión Eslava, 4",Gaztambide,Chamberí,40.432491495411,-3.716778606758,439203.489,4476007.971,CS_071_009
28012,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Hilarión Eslava, 4",Gaztambide,Chamberí,40.432491495411,-3.716778606758,439203.489,4476007.971,CS_071_009
28013,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle Hilarión Eslava, 4",Gaztambide,Chamberí,40.432491495411,-3.716778606758,439203.489,4476007.971,CS_071_009
28014,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle Hilarión Eslava, 4",Gaztambide,Chamberí,40.432491495411,-3.716778606758,439203.489,4476007.971,CS_071_009
28015,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Isla de Nelson, 2",Valdezarza,Moncloa-Aravaca,40.464336635286,-3.722933523792,438710.367,4479547.044,CS_094_022
